id_reserva;cancelado;antelacion_reserva;noches_finde;noches_semana;adultos;niños;bebes;regimen_pension;pais;segmento;canal;vuelve;tipo_hab_reservada;tipo_hab_asignada;tipo_deposito;adr;parking;estado_reserva;fecha
5891;0;737;0;0;2;0;0;BB;PRT;Direct;Direct;0;C;C;No Deposit;0;0;Check-Out;01/07/2015
6618;1;158;2;3;2;0;0;HB;PRT;Direct;Direct;0;A;A;No Deposit;99.7;0;Canceled;01/07/2015
13922;1;66;0;2;2;0;0;BB;PRT;Direct;Direct;0;A;A;No Deposit;112.05;0;Canceled;01/07/2015
17885;1;5;1;0;2;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;97;0;Canceled;01/07/2015
17936;1;87;3;7;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;87.9;0;Canceled;01/07/2015
22;1;66;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;103.5;0;Canceled;02/07/2015
2022;0;13;0;1;1;0;0;BB;GBR;Corporate;Corporate;0;A;A;No Deposit;75;0;Check-Out;02/07/2015
2087;1;58;2;3;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;134;0;Canceled;02/07/2015
4692;0;1;0;1;1;0;0;BB;PRT;Corporate;Corporate;1;A;B;No Deposit;134;0;Check-Out;02/07/2015
9968;1;66;0;2;2;2;0;BB;PRT;Online TA;TA/TO;0;G;G;No Deposit;195;0;Canceled;02/07/2015
18585;0;2;0;1;1;0;0;BB;NULL;Online TA;TA/TO;0;A;C;No Deposit;4;0;Check-Out;02/07/2015
4;0;1;0;1;2;0;0;BB;ARG;Online TA;TA/TO;0;H;H;No Deposit;147;1;Check-Out;03/07/2015
2056;1;48;1;1;2;2;0;BB;PRT;Online TA;TA/TO;0;H;H;No Deposit;210;0;Canceled;03/07/2015
3967;1;51;2;5;2;0;0;HB;PRT;Online TA;TA/TO;0;A;A;No Deposit;105.71;0;Canceled;03/07/2015
4022;1;59;2;7;2;0;0;BB;PRT;Online TA;TA/TO;0;D;D;No Deposit;123.11;0;Canceled;03/07/2015
5895;0;0;0;1;2;0;0;BB;PRT;Direct;Direct;0;H;H;No Deposit;147;0;Check-Out;03/07/2015
11889;0;3;0;1;2;0;0;BB;ESP;Online TA;TA/TO;0;A;C;No Deposit;88.2;1;Check-Out;03/07/2015
11961;1;60;1;5;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;120.5;0;Canceled;03/07/2015
13888;1;25;2;6;1;0;0;BB;PRT;Direct;Direct;0;A;A;No Deposit;131.63;0;Canceled;03/07/2015
17882;0;0;0;2;2;0;0;BB;PRT;Direct;Direct;0;C;C;No Deposit;107;0;Check-Out;03/07/2015
17883;0;9;0;2;2;0;0;FB;PRT;Direct;Direct;0;C;C;No Deposit;103;0;Check-Out;03/07/2015
2026;0;9;0;1;2;0;0;BB;PRT;Online TA;TA/TO;0;A;C;No Deposit;98;1;Check-Out;04/07/2015
5896;0;21;0;1;2;0;0;BB;PRT;Online TA;TA/TO;0;E;E;No Deposit;123;0;Check-Out;04/07/2015
6059;1;216;4;9;2;0;0;BB;PRT;Online TA;TA/TO;0;A;A;No Deposit;40.29;0;Canceled;04/07/2015
13856;0;12;0;1;2;0;0;BB;GBR;Online TA;TA/TO;0;A;C;No Deposit;73.8;0;Check-Out;04/07/2015
15871;1;114;0;3;2;0;0;HB;PRT;Online TA;TA/TO;0;A;A;No Deposit;149.4;0;Canceled;04/07/2015
